,hostname,planet_letter,ra,dec,parallax,parallax_error,distance,distance_error,dist_error_pct
147,HD 219828,b,349.69473299999999,18.645720000000001,14.004317085160714,0.43505612316905962,71.40655227377151,2.218305799003502,3.1065857801095831
148,HD 219828,c,349.69473299999999,18.645720000000001,14.004317085160714,0.43505612316905962,71.40655227377151,2.218305799003502,3.1065857801095831
149,HD 220074,b,350.05990600000001,61.970126999999998,3.614854262274934,0.55051782690737816,276.6363254076723,42.129839173995208,15.22932287070741
150,HD 22781,b,55.206356,31.82629,31.833637953457504,0.61010096006413805,31.413311964597131,0.60204528984138339,1.9165291788394985
151,HD 231701,b,293.01733400000001,16.474291000000001,9.0880557898653027,0.41968103119588412,110.03453578213799,5.0813296608176444,4.6179407444208085
152,HD 233604,b,137.45338000000001,53.56823,1.4849119050941548,0.41890367094110631,673.44062403256999,189.98214547294995,28.2106749568113
153,HD 23596,b,57.001556000000001,40.530636000000001,19.173290262347411,0.40520860709269874,52.155889068440395,1.1022633503132802,2.1134015161104047
154,HD 240237,b,348.92593399999998,58.043239999999997,1.1420727508016537,0.39794313411534205,875.6009626340101,305.09386644625647,34.843939130498853
155,HD 24064,b,59.151240999999999,74.080032000000003,3.3297271269587663,0.41054325569138023,300.32491008155324,37.028970137476591,12.329636635010187
156,HD 27631,b,64.939460999999994,-41.960265999999997,19.914263531745174,0.36733710237251083,50.215263969260413,0.92626722208101497,1.8445929561338863
157,HD 28185,b,66.609673000000001,-10.550820999999999,25.453276538478011,0.39953935077834751,39.287672786970603,0.61669747135183528,1.5696971278898388
158,HD 285507,b,61.755104000000003,15.335032,22.370743771609547,0.40983096359078414,44.701240611815891,0.81892460530944178,1.8319952513644
159,HD 28678,b,67.856055999999995,4.5752870000000003,5.2332603537134128,0.38793434097518759,191.08546726333248,14.164900999075375,7.4128614812736666
160,HD 290327,b,80.839850999999996,-2.2776190000000001,17.532643839098728,0.41453477387753179,57.03646347791237,1.348547184758526,2.3643597490590507
161,HD 2952,b,8.2933109999999992,54.894984999999998,9.0598640014826746,0.52994483967893014,110.37693279240692,6.4563536432060635,5.8493685952924128
162,HD 30177,b,70.476555000000005,-58.020755999999999,18.42492568881211,0.63722048587635016,54.274303022411374,1.8770603652171896,3.4584697742541235
163,HD 30856,b,72.574425000000005,-24.368839000000001,7.5702238291327397,0.38559491285666647,132.09649048310399,6.7284317988705045,5.0935734736503955
164,HD 31253,b,73.681892000000005,12.352201000000001,17.22804432269993,0.44919694163808954,58.044893620478149,1.5134386819328116,2.6073588692027041
165,HD 33142,b,76.898087000000004,-13.98648,8.6222421660747628,0.42189606910136013,115.97911317483276,5.6749892897753513,4.8931131946323703
166,HD 33283,b,77.004219000000006,-26.797471999999999,11.318612964902639,0.37398118725192447,88.350048111093955,2.9191965472101273,3.3041255886351566
